timestamp,cpu_usage_avg,memory_usage_avg,network_latency_avg,pods_per_node_avg,cpu_imbalance,memory_imbalance
2025-11-29 17:28:05.405204,0.029012285562019857,0.17166475171812873,0.08518571428571428,12.25,0.01773930899559796,8.088790719698584e-05
2025-11-29 17:28:35.664109,0.02834757622608411,0.17177712692105898,0.08065714285714286,12.25,0.014616140581864221,0.0005087671782723638
2025-11-29 17:29:05.872504,0.02798016401500682,0.17212943175116066,0.08795714285714286,12.25,0.017661336791719457,0.0004591335377866005
2025-11-29 17:29:36.089245,0.029636959840474476,0.17223060615772043,0.0834,12.25,0.05618948801041979,0.0004483078806774909
2025-11-29 17:30:06.379088,0.031345017574007275,0.1728957988077456,0.08452857142857143,12.25,0.00701228692857191,0.00012260931427023744
2025-11-29 17:30:36.563976,0.03156992837331742,0.17379161769123552,0.08367142857142858,12.25,0.01093422261113279,9.263708030179325e-05
2025-11-29 17:31:06.781793,0.03099450436078385,0.17356980519917709,0.08495714285714286,12.25,0.055915570852393195,0.00011098990057060544
2025-11-29 17:31:37.035514,0.02753603504934798,0.17360659032824086,0.08445714285714286,12.25,0.01968742077037436,0.00010673023255656208
2025-11-29 17:32:07.235445,0.027114061661222735,0.17362097386456368,0.08301428571428571,12.25,0.03345764432056145,0.00019746533354591462
2025-11-29 17:32:37.393803,0.026570058772234156,0.1730469789554786,0.0856,12.25,0.016057849542743585,0.00017989511441273976
